date,memory_usage_in_kB
2022-05-15 02:14:01+02:00, 648724
2022-05-15 02:15:01+02:00, 648676
2022-05-15 02:16:01+02:00, 648696
2022-05-15 02:17:01+02:00, 648716
2022-05-15 02:18:01+02:00, 648676
2022-05-15 02:19:01+02:00, 648688
2022-05-15 02:20:01+02:00, 648704
2022-05-15 02:21:01+02:00, 648664
2022-05-15 02:22:01+02:00, 648680
2022-05-15 02:23:01+02:00, 648696
2022-05-15 02:24:01+02:00, 648664
2022-05-15 02:25:01+02:00, 648684
2022-05-15 02:26:01+02:00, 707460
2022-05-15 02:27:01+02:00, 696000
2022-05-15 02:28:01+02:00, 696332
2022-05-15 02:29:01+02:00, 696260
2022-05-15 02:30:01+02:00, 696632
2022-05-15 02:31:01+02:00, 696484
2022-05-15 02:32:01+02:00, 696676
2022-05-15 02:33:01+02:00, 696556
2022-05-15 02:34:01+02:00, 696936
2022-05-15 09:58:36+02:00, 717864
2022-05-15 09:59:01+02:00, 717408
2022-05-15 10:00:01+02:00, 718144
2022-05-15 10:01:01+02:00, 718192
2022-05-15 10:02:01+02:00, 718232
2022-05-15 10:03:01+02:00, 718280
2022-05-15 10:04:01+02:00, 718368
2022-05-15 10:05:01+02:00, 718464
2022-05-15 10:06:01+02:00, 718472
2022-05-15 10:07:01+02:00, 718456
2022-05-15 10:08:01+02:00, 718728
2022-05-15 10:09:01+02:00, 718652
2022-05-15 10:10:01+02:00, 718804
2022-05-15 10:11:01+02:00, 718704
2022-05-15 10:12:01+02:00, 718816
2022-05-15 10:13:01+02:00, 718872
2022-05-15 10:14:01+02:00, 718984
2022-05-15 10:15:01+02:00, 723756
2022-05-15 10:16:01+02:00, 723880
2022-05-15 10:17:01+02:00, 725124
2022-05-15 10:18:01+02:00, 728828
2022-05-15 10:19:01+02:00, 729388
2022-05-15 10:20:01+02:00, 731412
2022-05-15 10:21:01+02:00, 736052
2022-05-15 10:22:01+02:00, 739036
2022-05-15 10:23:01+02:00, 739220
2022-05-15 10:24:01+02:00, 740604
2022-05-15 10:25:01+02:00, 743756
2022-05-15 10:26:01+02:00, 745732
2022-05-15 10:27:01+02:00, 746868
2022-05-15 10:28:01+02:00, 748920
2022-05-15 10:29:01+02:00, 751072
2022-05-15 10:30:01+02:00, 753352
2022-05-15 10:31:01+02:00, 755424
2022-05-15 10:32:01+02:00, 757708
2022-05-15 10:33:01+02:00, 759720
2022-05-15 10:34:01+02:00, 761796
2022-05-15 10:35:01+02:00, 764160
2022-05-15 10:36:01+02:00, 766708
2022-05-15 10:37:01+02:00, 769196
2022-05-15 10:38:01+02:00, 771708
2022-05-15 10:39:01+02:00, 774380
2022-05-15 10:40:01+02:00, 777136
2022-05-15 10:41:01+02:00, 779168
2022-05-15 10:42:01+02:00, 781848
2022-05-15 10:43:01+02:00, 784272
2022-05-15 10:44:01+02:00, 786580
2022-05-15 10:45:01+02:00, 789216
2022-05-15 10:46:01+02:00, 791620
2022-05-15 10:47:01+02:00, 793948
2022-05-15 10:48:01+02:00, 796840
2022-05-15 10:49:01+02:00, 799044
2022-05-15 10:50:01+02:00, 801360
2022-05-15 10:51:01+02:00, 804464
2022-05-15 10:52:01+02:00, 806680
2022-05-15 10:53:01+02:00, 809696
2022-05-15 10:54:01+02:00, 811716
2022-05-15 10:55:01+02:00, 817068
2022-05-15 10:56:01+02:00, 817932
2022-05-15 10:57:01+02:00, 820048
2022-05-15 10:58:01+02:00, 823180
2022-05-15 10:59:01+02:00, 825848
2022-05-15 11:00:01+02:00, 829288
2022-05-15 11:01:01+02:00, 832864
2022-05-15 11:02:01+02:00, 834064
2022-05-15 11:03:01+02:00, 835984
2022-05-15 11:04:01+02:00, 838460
2022-05-15 11:05:01+02:00, 840964
2022-05-15 11:06:01+02:00, 845932
2022-05-15 11:07:01+02:00, 846400
2022-05-15 11:08:01+02:00, 848836
2022-05-15 11:09:01+02:00, 850996
2022-05-15 11:10:01+02:00, 853568
2022-05-15 11:11:01+02:00, 855776
2022-05-15 11:12:02+02:00, 858580
2022-05-15 11:13:01+02:00, 861020
2022-05-15 11:14:01+02:00, 863636
2022-05-15 11:15:01+02:00, 866072
2022-05-15 11:16:01+02:00, 871736
2022-05-15 11:17:01+02:00, 874280
2022-05-15 11:18:01+02:00, 874644
2022-05-15 11:19:01+02:00, 876716
2022-05-15 11:20:01+02:00, 878836
2022-05-15 11:21:01+02:00, 881636
2022-05-15 11:22:01+02:00, 884080
2022-05-15 11:23:01+02:00, 886672
2022-05-15 11:24:01+02:00, 888944
2022-05-15 11:25:01+02:00, 891520
2022-05-15 11:26:01+02:00, 894096
2022-05-15 11:27:01+02:00, 896720
2022-05-15 11:28:01+02:00, 899028
2022-05-15 11:29:01+02:00, 901568
2022-05-15 11:30:01+02:00, 904308
2022-05-15 11:31:01+02:00, 911264
2022-05-15 11:32:01+02:00, 911652
2022-05-15 11:33:01+02:00, 912536
2022-05-15 11:34:01+02:00, 916100
2022-05-15 11:35:01+02:00, 917376
2022-05-15 11:36:01+02:00, 919444
2022-05-15 11:37:01+02:00, 921848
2022-05-15 11:38:01+02:00, 925500
2022-05-15 11:39:01+02:00, 926960
2022-05-15 11:40:01+02:00, 929432
2022-05-15 11:41:01+02:00, 931740
2022-05-15 11:42:01+02:00, 934484
2022-05-15 11:43:01+02:00, 936804
2022-05-15 11:44:01+02:00, 939116
2022-05-15 11:45:01+02:00, 941708
2022-05-15 11:46:01+02:00, 944600
2022-05-15 11:47:01+02:00, 946784
2022-05-15 11:48:01+02:00, 949632
2022-05-15 11:49:01+02:00, 951836
2022-05-15 11:50:01+02:00, 954036
2022-05-15 11:51:01+02:00, 956772
2022-05-15 11:52:01+02:00, 959220
2022-05-15 11:53:01+02:00, 961504
2022-05-15 11:54:01+02:00, 964024
2022-05-15 11:55:01+02:00, 966720
2022-05-15 11:56:01+02:00, 969152
2022-05-15 11:57:01+02:00, 973720
2022-05-15 11:58:01+02:00, 973708
2022-05-15 11:59:01+02:00, 973728
2022-05-15 12:00:01+02:00, 973748
2022-05-15 12:01:01+02:00, 973760
2022-05-15 12:02:01+02:00, 973776
2022-05-15 12:03:01+02:00, 973728
2022-05-15 12:04:01+02:00, 973744
2022-05-15 12:05:01+02:00, 1022364
2022-05-15 12:06:01+02:00, 1008472
2022-05-15 12:07:01+02:00, 1008360
2022-05-15 12:08:01+02:00, 1008856
2022-05-15 12:09:01+02:00, 1008976
2022-05-15 12:10:01+02:00, 1009184
2022-05-15 12:11:01+02:00, 1009292
2022-05-15 12:12:01+02:00, 1009136
2022-05-15 12:13:02+02:00, 1009032
2022-05-15 12:14:01+02:00, 1017260
2022-05-15 12:15:01+02:00, 1017144
2022-05-15 12:16:01+02:00, 1017860
2022-05-15 12:17:01+02:00, 1020192
2022-05-15 12:18:01+02:00, 1021972
